Tanggal,Nangroe Aceh Darussalam,,,Sumatera Barat,,,Sumatera Utara,,,Sumatera Selatan,,,Lampung,,,Riau,,,Kepulauan Riau,,,Jambi,,,Kepulauan Bangka Belitung,,,Bengkulu,,,DKI Jakarta,,,Banten,,,Jawa Barat,,,Jawa Tengah,,,Jawa Timur,,,Daerah Istimewah Yogyakarta,,,Bali,,,Nusa Tenggara Barat,,,Nusa Tenggara Timur,,,Kalimantan Barat,,,Kalimantan Selatan,,,Kalimantan Tengah,,,Kalimantan Timur,,,Kalimantan Utara,,,Sulawesi Barat,,,Sulawesi Tenggara,,,Sulawesi Selatan,,,Sulawesi Tengah,,,Sulawesi Utara,,,Gorontalo,,,Maluku,,,Maluku Utara,,,Papua,,,Papua Barat,,
,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh,Positif,Meninggal,Sembuh
3/2/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/3/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/4/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/5/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/6/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/8/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/9/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/12/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/13/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,3,3,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,4,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/16/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/17/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,3,0,1,3,1,0,2,1,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/2020,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,42,7,1,4,1,0,3,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/19/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,52,1,4,10,0,0,2,4,0,4,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/20/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,2,12,0,0,15,1,0,0,0,0,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/21/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,5,2,4,1,0,14,0,0,2,0,0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42,7,7,4,1,0,4,1,2,1,0,0,15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
3/23/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,44,0,1,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3/24/2020,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,2,0,9,1,0,1,1,0,4,0,0,10,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3/25/2020,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,2,0,0,13,0,0,19,1,0,0,1,1,11,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/26/2020,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,15,2,0,0,0,5,1,0,2,2,0,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
3/27/2020,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,5,6,17,0,0,20,3,0,3,0,0,7,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
3/28/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,11,13,19,0,0,21,3,1,12,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/29/2020,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,48,6,2,3,0,0,30,2,0,8,0,0,13,3,3,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
3/30/2020,0,0,0,3,0,0,5,0,0,0,0,0,4,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,23,6,3,22,0,0,31,1,2,18,0,0,1,1,5,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/31/2020,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,49,9,0,14,0,1,18,1,3,12,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
4/1/2020,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,61,2,2,10,10,5,22,0,0,11,0,0,11,1,1,5,0,0,6,0,10,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
4/2/2020,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,89,5,2,12,0,0,3,4,0,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/3/2020,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,74,0,0,6,0,0,2,0,1,10,11,10,51,0,3,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,16,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0
4/4/2020,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,57,0,4,3,3,0,22,3,0,6,0,0,0,3,4,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
4/5/2020,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,5,0,4,0,0,5,0,0,0,0,3,33,0,1,1,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
4/6/2020,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,4,9,10,0,0,11,1,1,12,4,0,1,0,8,6,0,0,8,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,29,1,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4/7/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,7,0,7,1,0,80,0,4,1,0,0,5,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/8/2020,1,0,0,0,0,0,33,0,0,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,1,0,0,1,1,0,101,8,5,18,0,0,22,6,0,7,0,0,2,0,5,0,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,12,0,0,0,0,0
4/9/2020,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,28,12,6,2,0,11,5,2,4,0,4,27,1,3,0,0,0,14,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4/10/2020,0,0,0,13,3,6,0,0,8,4,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,47,12,0,25,1,0,12,0,0,0,0,0,33,5,13,0,0,0,12,0,1,9,0,0,1,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,29,3,1,9,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/11/2020,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,195,5,0,36,0,0,33,0,0,0,0,0,11,3,2,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,11,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
4/12/2020,0,0,0,13,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,36,60,2,0,0,29,3,0,56,3,1,119,3,4,0,0,0,2,0,0,10,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,44,0,0,0,0,2,4,0,0,0,0,0,8,0,0,0,0,0,1,1,2,1,0,0
4/13/2020,0,0,3,1,0,0,2,1,1,0,0,0,1,3,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,142,9,0,4,1,0,90,9,3,3,0,0,54,3,5,16,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
4/14/2020,0,0,0,3,2,0,5,0,1,0,0,0,0,1,0,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0,149,37,21,0,0,0,0,0,1,75,1,0,35,11,3,5,0,12,6,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/15/2020,0,0,0,7,0,1,6,0,0,1,0,0,0,0,0,0,0,0,6,2,3,1,0,0,1,0,0,0,0,0,139,1,1,0,3,0,19,0,0,14,1,0,24,4,5,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,4,0,1,0,0,0,8,0,0,11,0,9,3,0,0,1,0,0,0,0,0,3,0,0,2,0,1,7,0,0,0,0,0
4/16/2020,0,0,0,0,0,0,1,0,2,15,0,1,4,0,7,4,3,4,20,0,0,1,0,0,0,0,0,0,0,0,196,2,38,12,7,0,11,1,5,8,0,0,15,1,5,0,0,4,15,0,9,8,0,0,0,0,0,8,0,0,0,0,1,0,0,3,8,0,0,8,0,1,0,0,0,2,0,3,29,8,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5,3,10,2,0,0
4/17/2020,0,0,0,7,1,3,0,0,0,17,0,0,1,0,2,2,1,4,21,0,1,1,0,0,0,0,0,2,0,0,145,2,2,14,2,2,62,3,13,4,14,17,8,0,8,2,0,3,11,0,4,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,3,19,0,0,0,0,0,1,0,0,61,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
4/18/2020,0,0,0,9,1,2,0,0,0,30,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,109,7,1,10,0,0,9,0,0,25,0,8,33,3,2,3,0,1,7,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,1,0,11,2,0,0,0,0,2,0,0,0,0,0,3,0,5,0,0,0,6,0,3,0,0,0
4/19/2020,1,0,0,1,0,0,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,108,34,29,3,0,0,55,3,4,20,3,7,35,5,2,0,0,1,4,0,2,6,1,9,0,0,0,0,0,1,3,0,0,0,0,0,1,1,0,19,0,0,0,0,0,9,0,0,27,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0
4/20/2020,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,4,0,0,2,1,2,0,0,0,1,0,1,0,0,0,65,0,0,17,1,8,51,3,11,2,0,0,0,2,0,2,0,1,5,0,4,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0
4/21/2020,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,163,11,52,0,0,0,9,6,19,98,0,0,13,0,2,3,0,2,10,0,0,21,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,5,10,0,0,1,0,1,0,3,1,0,0,0,0,0,0,0,11,0,0,0,0,0
4/22/2020,0,0,0,5,1,0,9,1,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,123,3,36,0,0,12,6,3,4,30,8,3,35,2,1,3,0,0,2,1,5,15,0,0,0,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,2,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,1,0,0
4/23/2020,0,0,0,5,1,3,2,1,0,4,0,0,11,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,134,0,4,0,0,0,22,3,8,59,1,0,26,2,11,1,0,2,15,0,8,7,0,2,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,5,0,0,0,11,0,0,0,0,0,0,0,0,2,0,0,7,0,4,5,0,0
4/24/2020,1,0,0,10,1,1,1,0,0,13,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,82,25,1,18,4,4,78,3,3,37,1,4,26,7,16,1,0,4,10,0,0,38,0,2,0,0,0,0,0,0,3,0,0,25,0,0,0,0,0,0,0,0,25,0,0,4,0,1,23,1,1,3,0,0,5,0,0,5,0,0,0,0,0,0,0,0,6,0,0,2,0,0
4/25/2020,1,0,0,1,1,3,9,1,0,13,0,0,0,0,0,2,0,1,2,0,0,3,0,0,1,0,0,0,0,0,85,20,7,11,0,0,45,0,3,46,0,0,80,8,5,2,0,0,6,0,15,27,0,5,0,0,0,1,0,0,4,0,0,2,0,0,4,0,1,6,0,0,2,0,0,0,0,0,12,1,1,4,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,1,0,0
4/26/2020,0,0,0,5,0,0,6,0,0,10,0,13,4,0,0,1,0,1,1,0,0,11,0,0,0,0,0,0,0,0,114,7,1,0,0,0,5,0,0,28,4,14,0,0,0,3,0,0,3,0,5,15,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,4,0,1,8,0,17,0,0,0,4,0,6,1,0,0,0,0,1,12,0,0,5,0,0,0,0,0
4/27/2020,0,0,0,19,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,71,14,2,12,1,0,39,1,3,17,0,16,11,1,2,1,0,1,8,0,6,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
4/28/2020,0,0,0,23,0,1,0,0,14,14,0,4,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,133,3,26,6,1,0,18,1,7,16,0,1,61,2,4,10,0,2,21,0,7,15,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13,0,2,6,0,5,3,0,0,0,0,0,0,0,1,0,0,1,26,0,15,21,0,0
4/29/2020,0,0,0,1,1,0,3,0,5,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,90,0,77,0,0,0,40,0,4,29,1,12,15,5,8,1,0,1,0,0,8,9,0,0,0,0,0,7,0,0,5,0,0,2,0,3,0,0,0,0,0,0,2,0,0,8,0,1,12,0,10,5,0,0,1,0,3,0,0,2,1,0,0,0,0,0,12,0,0,0,0,0
4/30/2020,1,0,0,3,0,1,3,1,1,6,0,1,0,0,2,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,83,1,46,16,0,1,3,4,36,13,0,1,86,1,5,1,0,3,7,0,17,0,0,7,9,0,0,0,0,0,0,0,2,1,0,0,8,0,1,8,0,2,1,0,1,9,0,3,26,0,4,0,0,0,1,1,0,0,0,0,0,0,0,14,0,0,16,0,0,0,0,0
5/1/2020,1,0,0,24,0,5,0,0,0,6,0,6,4,0,0,1,0,0,0,0,7,0,0,0,9,0,2,0,0,0,142,4,2,14,0,0,0,0,2,22,1,10,76,3,5,9,0,1,13,0,8,3,0,0,0,0,0,3,0,1,1,0,1,4,0,0,9,0,3,15,0,1,4,0,0,0,0,1,56,0,13,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,5,0,0
